Open,Close,High,Low,Volume,Date
3131.8,3131.63,3133.13,3131.61,,03/25/19
3131.63,3155.9,3155.9,3130.695,,03/26/19
3155.9,3176.8,3196.16,3155.9,,03/27/19
3176.8,3175.45,3202.97,3175.45,,03/28/19
3175.45,3188.03,3188.25,3160.49,,03/29/19
3188.775,3188.615,3188.775,3188.615,,03/30/19
3188.615,3188.615,3188.615,3188.615,,03/31/19
3188.03,3142.65,3188.74,3138.9,,04/01/19
3142.65,3146.05,3149.65,3135.5,,04/02/19
3146.05,3123.5,3146.05,3123.5,,04/03/19
3123.5,3129.68,3136.33,3123.5,,04/04/19
3129.68,3124.48,3129.68,3122.86,,04/05/19
3125.485,3125.485,3125.485,3125.485,,04/06/19
3125.485,3125.485,3125.485,3125.485,,04/07/19
3124.48,3115.25,3124.48,3112.94,,04/08/19
3115.25,3102.95,3115.25,3102.01,,04/09/19
3102.95,3095.43,3102.95,3094.26,,04/10/19
3095.43,3120.55,3121.25,3095.43,,04/11/19
3120.55,3115.53,3120.55,3098.55,,04/12/19
3109.865,3109.865,3109.865,3109.865,,04/13/19
3109.865,3109.865,3109.865,3109.865,,04/14/19
3115.53,3139.93,3145.07,3114,,04/15/19
3139.93,3163.48,3167.475,3139.93,,04/16/19
3163.48,3158,3167.325,3155.51,,04/17/19
3158,3154.27,3158,3151.25,,04/18/19
3154.27,3154.27,3154.27,3154.27,,04/19/19
3152.195,3152.195,3152.195,3152.195,,04/20/19
3152.195,3152.195,3152.195,3152.195,,04/21/19
3154.27,3156.38,3156.38,3143.1,,04/22/19
3156.38,3180.43,3184.25,3156.38,,04/23/19
3180.43,3222.03,3230.595,3180.43,,04/24/19
3222.03,3234.35,3238.475,3222.03,,04/25/19
3234.35,3229.05,3234.35,3222.855,,04/26/19
3228.515,3228.515,3228.515,3228.515,,04/27/19
3228.515,3228.515,3228.515,3228.515,,04/28/19
3229.05,3252.25,3252.88,3229.05,,04/29/19
3252.25,3233.25,3252.25,3225.9,,04/30/19
3233.25,3232.25,3233.75,3227.25,,05/01/19
3232.25,3257.5,3263.97,3232.25,,05/02/19
3257.5,3237.7,3257.5,3237.7,,05/03/19
3242.155,3242.155,3242.155,3242.155,,05/04/19
3242.155,3242.155,3242.155,3242.155,,05/05/19
3237.7,3255.25,3261,3237.7,,05/06/19
3255.25,3301.15,3301.15,3255.25,,05/07/19
3301.15,3293.5,3301.15,3280.68,,05/08/19
3293.5,3276.9,3308.15,3276.9,,05/09/19
3276.9,3273.6,3284.03,3266.3,,05/10/19
3280.795,3280.795,3280.795,3280.795,,05/11/19
3280.795,3280.795,3280.795,3280.795,,05/12/19
3273.6,3304.73,3308.3,3273.6,,05/13/19
3304.73,3291.1,3304.73,3278.1,,05/14/19
3291.1,3284.75,3309.99,3284.75,,05/15/19
3284.75,3299.5,3300.25,3283.8,,05/16/19
3299.5,3321.53,3321.53,3299.5,,05/17/19
3320.035,3320.035,3320.035,3320.035,,05/18/19
3320.035,3320.035,3320.035,3320.035,,05/19/19
3321.53,3353.03,3354.59,3313.66,,05/20/19
3353.03,3341.05,3358.255,3332.65,,05/21/19
3341.05,3336.03,3346.8,3324.48,,05/22/19
3336.03,3378.13,3380.63,3336.03,,05/23/19
3378.13,3359.18,3378.13,3356.23,,05/24/19
3358.505,3371.895,3371.895,3358.505,,05/25/19
3371.895,3371.895,3371.895,3371.895,,05/26/19
3359.18,3359.18,3359.18,3359.18,,05/27/19
3359.18,3376.6,3377.495,3348.9,,05/28/19
3376.6,3352.8,3388.165,3352.8,,05/29/19
3352.8,3364.98,3364.98,3352.8,,05/30/19
3364.98,3380,3390.67,3364.98,,05/31/19
3372.195,3372.195,3372.195,3372.195,,06/01/19
3372.195,3372.195,3372.195,3372.195,,06/02/19
3380,3376.24,3380,3376.24,,06/03/19
3376.24,3292.33,3376.24,3292.33,,06/04/19
3292.33,3306,3307,3284.85,,06/05/19
3306,3291.48,3306,3285.4,,06/06/19
